"Select a category beside","Selecione uma categoria ao lado."
"Fullfillment","Dados Cadastrais"
"Store Manager","Gerente da Loja"
"Basic Info","Informa&ccdeil;&otilde;es B&aacute;sicas"
"Store Name","Nome da loja"
"Store Contact Address","Endere&ccedil;o"
"Store Contact Telephone","Telefone"
"Store Fullfillment Section","Loja - Dados Cadastrais"
"Store Code", "Endere&ccedil;o Virtual da Loja"
"Sales Email,"E-mail de Vendas"
"Identity","Identidade Visual"
"Logo","Logotipo"
"Payment","Pagamento"
"Inventory", "Estoque"
"Field %s must be filled first.","%s precisa ser preenchido antes de ativar a loja."
"Take on Store","Retirar na Loja"
"Revenue Share","Comissionamento"
"Commission Tax","Taxa de comiss&atilde;o"
"Sales Transfering E-mail","E-mail de transfer&ecirc;ncia do faturamento"
"Store revenue sharing configurations","Configura&ccedil;&otilde;es de comissionamento da sua loja virtual"
"Please inform your e-mail registered in PagSeguro as consumer","Informe o e-mail cadastrado no PagSeguro como consumidor, pelo qual voc&ecirc; receber&aacute; o valor das vendas concretizadas na sua loja virtual. Caso seja uma conta de vendedor haver&aacute; uma cobran&ccedil;a adicional de taxas sobre o valor transferido.<br>
					Certifique-se que a sua conta esteja validada pelo PagSeguro afim de que voc&ecirc; consiga receber o valor transferido em sua conta banc&aacute;ria.
					Para isso &eacute; necess&aacute;rio que voc&ecirc; envie ao PagSeguro alguns documentos que comprovem a sua identidade como: RG, CPF, comprovante de endere&ccedil;o.<br>
					Outro detalhe importante, a conta banc&aacute;ria cadastrada no Pagseguro deve estar em seu nome, ou seja, o CPF cadastrado no PagSeguro deve ser o mesmo da sua conta banc&aacute;ria."